window,segment,metric,n,fit,loglik,aic,bic,ks_pvalue,chosen,param_mu,param_sigma,param_log_mu,param_log_sigma,param_k,param_theta
szn,F,G,449,Normal,-502.359082926562,1008.718165853124,1016.9322116286085,1.1819359408782058e-07,0,0.8153006681514475,0.740745101931284,,,,
szn,F,G,449,LogNormal,819.6989483137427,-1635.3978966274854,-1627.183850852001,4.340370993705285e-72,1,,,-5.45065976291617,9.080335123774407,,
szn,F,G,449,Gamma,-806.1963428741615,1616.392685748323,1624.6067315238074,2.1954551781275287e-27,0,,,,,1.2114291514496658,0.6730073049970698
szn,F,G,449,Normal(log1p),-217.81962101752165,439.6392420350433,447.85328781052783,2.1223527244946244e-11,0,0.5181953562355247,0.39305061548172116,,,,
szn,D,G,245,Normal,-23.658858260132668,51.317716520265336,58.32023294135479,6.680676676116364e-29,0,0.1776734693877551,0.26650247062109395,,,,
szn,D,G,245,LogNormal,2289.672291937218,-4575.344583874436,-4568.342067453346,1.0169500819185449e-35,1,,,-13.033270376597555,9.667122078836288,,
szn,D,G,245,Gamma,1595.9105878448838,-3187.8211756897676,-3180.8186592686784,1.005768397896143e-88,0,,,,,0.44447024332751633,0.39974210347548045
szn,D,G,245,Normal(log1p),45.81128638046906,-87.62257276093813,-80.62005633984867,5.516908648336192e-31,0,0.14178077031868824,0.2007041440172881,,,,
szn,F,A,449,Normal,-585.6983094782787,1175.3966189565574,1183.6106647320419,2.250490881342618e-05,0,1.0837416481069042,0.8918226800882438,,,,
szn,F,A,449,LogNormal,244.10094677221036,-484.2018935444207,-475.9878477689362,6.158168129428764e-75,1,,,-4.091154829047278,8.402771786234068,,
szn,F,A,449,Gamma,-1279.0791502868387,2562.1583005736775,2570.372346349162,1.2040177644206756e-16,0,,,,,1.4767075729020391,0.7338904927397357
szn,F,A,449,Normal(log1p),-256.88409139774944,517.7681827954989,525.9822285709834,1.0206920156125559e-07,0,0.6440113129103137,0.4287790155487078,,,,
szn,D,A,245,Normal,-327.18016858172973,658.3603371634595,665.3628535845489,1.0491439445285292e-08,0,0.7880408163265307,0.9198825559284046,,,,
szn,D,A,245,LogNormal,430.9791112806008,-857.9582225612016,-850.9557061401122,8.65929151592047e-39,1,,,-5.370097309744908,8.953641876989963,,
szn,D,A,245,Gamma,103.33618556691852,-202.67237113383703,-195.66985471274756,2.5722716723211613e-14,0,,,,,0.7338928531151682,1.073781837818124
szn,D,A,245,Normal(log1p),-120.55036610385793,245.10073220771585,252.10324862880532,4.407776804579138e-05,0,0.4937454575340715,0.39578021969148286,,,,
szn,F,PPP,233,Normal,-616.1935984991854,1236.3871969983709,1243.2892739055023,0.01137528242383425,0,4.596738197424893,3.4064448643509326,,,,
szn,F,PPP,233,LogNormal,-209.07792080386184,422.1558416077237,429.0579185148551,2.2855014479160672e-41,1,,,-2.699775043881696,8.830102678190798,,
szn,F,PPP,233,Gamma,-1318.4391260706248,2640.8782521412495,2647.7803290483807,4.356043450749598e-08,0,,,,,1.8209449284284547,2.5243696972127467
szn,F,PPP,233,Normal(log1p),-281.3921167610515,566.784233522103,573.6863104292344,1.5309959751599983e-05,0,1.46455273516551,0.8095740409881749,,,,
