window,segment,metric,n,fit,loglik,aic,bic,ks_pvalue,chosen,season_label,param_mu,param_sigma,param_log_mu,param_log_sigma,param_k,param_theta
szn,F,G,591,Normal,-509.89726618727155,1023.7945323745431,1032.5581644093554,1.2232655750642758e-06,0,prior,0.7044839255499155,0.5734020208293559,,,,
szn,F,G,591,LogNormal,170.28986817654004,-336.5797363530801,-327.8161043182679,2.7635036592796914e-95,1,prior,,,-3.7400155729672284,7.636493370763271,,
szn,F,G,591,Gamma,-1267.224482118196,2538.448964236392,2547.2125962712043,5.780345434803692e-15,0,prior,,,,,1.509467401300404,0.46671026158664725
szn,F,G,591,Normal(log1p),-138.05362624606258,280.10725249212516,288.87088452693735,7.824323086361254e-07,0,prior,0.4851923809871811,0.3056406367154648,,,,
szn,D,G,316,Normal,-36.852421140145914,77.70484228029183,85.21632670746565,7.722364520446145e-15,0,prior,0.20325949367088608,0.2719010821711079,,,,
szn,D,G,316,LogNormal,812.121398907369,-1620.242797814738,-1612.7313133875641,5.058502232251846e-47,1,prior,,,-6.083258490915353,8.119881258982318,,
szn,D,G,316,Gamma,703.1743944543545,-1402.348788908709,-1394.837304481535,1.010567615353068e-15,0,prior,,,,,0.5588301230337712,0.3637232237976189
szn,D,G,316,Normal(log1p),111.88207997721648,-219.76415995443296,-212.25267552725913,1.2119367870025716e-07,0,prior,0.16803513601370898,0.16982347762459193,,,,
szn,F,A,591,Normal,-567.4183479607138,1138.8366959214277,1147.6003279562399,0.004449346611520012,0,prior,0.9253637901861254,0.6320164822342476,,,,
szn,F,A,591,LogNormal,-289.84119214263274,583.6823842852655,592.4460163200777,1.8009727845009556e-105,0,prior,,,-2.8918221365318852,7.122855029457739,,
szn,F,A,591,Gamma,-2196.998473212354,4397.996946424708,4406.76057845952,3.814739778932857e-10,0,prior,,,,,2.143720665517531,0.431662485326549
szn,F,A,591,Normal(log1p),-188.24824602628337,380.49649205256674,389.2601240873789,9.05154470314658e-06,1,prior,0.6011596157808491,0.3327334425980415,,,,
szn,D,A,316,Normal,-212.13794166093234,428.2758833218647,435.7873677490385,0.004529827543423654,0,prior,0.6785443037974684,0.47349404972584513,,,,
szn,D,A,316,LogNormal,-134.67637769781902,273.35275539563804,280.86423982281184,1.054880611434171e-57,0,prior,,,-2.8958686020215065,6.706794637240183,,
szn,D,A,316,Gamma,-901.9368393330992,1807.8736786661984,1815.3851630933723,0.0001183216636137303,0,prior,,,,,2.053654433940195,0.33040821898113265
szn,D,A,316,Normal(log1p),-31.402320535664924,66.80464107132985,74.31612549850367,0.014546506999924923,1,prior,0.4817490390979708,0.26725177132475897,,,,
szn,F,PPP,261,Normal,-558.4145100910355,1120.829020182071,1127.9580609967163,0.8078809126177369,0,prior,4.39367816091954,2.055626489476067,,,,
szn,F,PPP,261,LogNormal,-914.9861351798127,1833.9722703596253,1841.1013111742707,3.1452238235412163e-38,0,prior,,,0.8035457408189967,3.6082025165764824,,
szn,F,PPP,261,Gamma,-1062.8478448216517,2129.6956896433035,2136.824730457949,0.18123081549177644,0,prior,,,,,4.568441541061227,0.9617455146259198
szn,F,PPP,261,Normal(log1p),-167.14213504770385,338.2842700954077,345.4133109100531,0.06528359252654925,1,prior,1.5958096384995601,0.45907246242132327,,,,
szn,D,PPP,81,Normal,-173.80545043235944,351.6109008647189,356.39979917406373,0.9262889158957601,0,prior,4.3449382716049385,2.068467031496305,,,,
szn,D,PPP,81,LogNormal,-278.58212819248354,561.1642563849671,565.9531546943119,1.7874990931996658e-13,0,prior,,,0.5839853085894445,4.2053675247406765,,
szn,D,PPP,81,Gamma,-379.45427264615813,762.9085452923163,767.6974436016611,0.2964165125287782,0,prior,,,,,4.412350615913444,0.9847218976596415
szn,D,PPP,81,Normal(log1p),-54.83793571826942,113.67587143653884,118.46476974588371,0.17323663562412872,1,prior,1.5820290317796257,0.4761954112646701,,,,
szn,F,SOG,591,Normal,-1358.9667470224963,2721.9334940449926,2730.697126079805,0.014677035997002189,0,prior,6.241708967851099,2.4120996372043035,,,,
szn,F,SOG,591,LogNormal,-2309.1969851983204,4622.393970396641,4631.157602431453,5.664450654487584e-90,0,prior,,,1.3687058704761639,3.0637090777468017,,
szn,F,SOG,591,Gamma,-2627.9135414078037,5259.827082815607,5268.590714850419,0.0017590690606984925,0,prior,,,,,6.696016932847796,0.9321525065521501
szn,F,SOG,591,Normal(log1p),-296.2794840529275,596.558968105855,605.3226001406672,2.965360793162142e-08,1,prior,1.9148214969239599,0.39946880207338864,,,,
szn,D,SOG,316,Normal,-634.1626872514931,1272.3253745029863,1279.8368589301601,0.009312244187433885,0,prior,3.9498101265822783,1.8002137606965594,,,,
szn,D,SOG,316,LogNormal,-1086.8890901084762,2177.7781802169525,2185.2896646441263,3.973585312931074e-52,0,prior,,,0.8370829966649176,3.265787431581381,,
szn,D,SOG,316,Gamma,-1128.3262367464704,2260.6524734929408,2268.1639579201146,0.016229969214310355,0,prior,,,,,4.813980022869932,0.820487436142223
szn,D,SOG,316,Normal(log1p),-133.4433384475324,270.8866768950648,278.3981613222386,0.014458186561028456,1,prior,1.5376922670237985,0.3691140930465032,,,,
szn,F,FOW,591,Normal,-2193.577903240853,4391.155806481706,4399.919438516518,4.868825679343731e-31,0,prior,7.827766497461927,9.901628167040819,,,,
szn,F,FOW,591,LogNormal,-922.6988155037909,1849.3976310075818,1858.161263042394,7.494448721716446e-60,1,prior,,,-1.897286141611566,7.687516036985622,,
szn,F,FOW,591,Gamma,-1095.7570164688873,2195.5140329377746,2204.277664972587,9.938291589525741e-26,0,prior,,,,,0.6249747875846474,12.524931650204818
szn,F,FOW,591,Normal(log1p),-970.2936273433806,1944.5872546867613,1953.3508867215735,2.268994698555749e-15,0,prior,1.4457802865472626,1.249625934561355,,,,
szn,D,FOW,316,Normal,1478.6882467246892,-2953.3764934493784,-2945.8650090222045,8.961135928742997e-80,0,prior,0.00012658227848101267,0.0022466125758606134,,,,
szn,D,FOW,316,LogNormal,6088.0363610215945,-12172.072722043189,-12164.561237616015,8.961135928738463e-80,1,prior,,,-20.66787219766768,0.9831395683475961,,
szn,D,FOW,316,Gamma,4695.311425884895,-9386.62285176979,-9379.111367342615,0.0,0,prior,,,,,0.003174653333532716,0.039873101727172004
szn,D,FOW,316,Normal(log1p),1484.9053729570962,-2965.8107459141925,-2958.2992614870186,8.961135928742997e-80,0,prior,0.00012411618086481422,0.0022028436851095883,,,,
szn,F,HIT,591,Normal,-1831.6012313194544,3667.202462638909,3675.9660946737213,1.9490713643518423e-09,0,prior,6.41253807106599,5.366723248993906,,,,
szn,F,HIT,591,LogNormal,-2164.7604316217935,4333.520863243587,4342.284495278399,2.272679373848467e-43,0,prior,,,1.1435575341127264,3.0053112606812546,,
szn,F,HIT,591,Gamma,-1750.7542741444183,3505.5085482888367,3514.272180323649,0.3659371424310678,0,prior,,,,,1.4277149681708539,4.491469385726525
