window,segment,metric,n,fit,loglik,aic,bic,ks_pvalue,chosen,season_label,param_mu,param_sigma,param_log_mu,param_log_sigma,param_k,param_theta
szn,F,G,466,Normal,-453.22257494193246,910.4451498838649,918.7335211521162,3.365942399240138e-05,0,current,0.7913304721030042,0.6399546911055637,,,,
szn,F,G,466,LogNormal,434.7425919029447,-865.4851838058894,-857.1968125376382,2.1695719757755406e-79,1,current,,,-4.479851823092665,8.397963810298451,,
szn,F,G,466,Gamma,-1292.0132703474196,2588.0265406948392,2596.3149119630907,1.467967129390827e-18,0,current,,,,,1.5290346453474453,0.5175359987565811
szn,F,G,466,Normal(log1p),-179.07060506979082,362.14121013958163,370.4295814078329,2.752692335593225e-08,0,current,0.5203143852752792,0.35534474484008727,,,,
szn,D,G,249,Normal,8.320454858434449,-12.640909716868897,-5.6060039239394825,2.586759628984699e-23,0,current,0.1734538152610442,0.23401875563179078,,,,
szn,D,G,249,LogNormal,2038.7450612150278,-4073.4901224300556,-4066.4552166371263,1.3441127195189142e-30,1,current,,,-11.886866764119912,9.778607205474941,,
szn,D,G,249,Gamma,1234.8941096015405,-2465.788219203081,-2458.753313410152,2.6032954104605627e-71,0,current,,,,,0.5493718303985985,0.3157311791640191
szn,D,G,249,Normal(log1p),70.46374010977333,-136.92748021954665,-129.89257442661724,4.567541228513895e-25,0,current,0.14233233996657374,0.18233211607135028,,,,
szn,F,A,466,Normal,-575.1440439476031,1154.2880878952062,1162.5764591634575,5.3580074585798324e-05,0,current,1.0384120171673819,0.8313338278009296,,,,
szn,F,A,466,LogNormal,120.77851090369586,-237.55702180739172,-229.26865053914042,7.806128158301165e-77,1,current,,,-3.7681458187227586,8.085124822193492,,
szn,F,A,466,Gamma,-1360.3031937609492,2724.6063875218983,2732.89475879015,2.3007775248776634e-14,0,current,,,,,1.5602295743843946,0.6655507845771018
szn,F,A,466,Normal(log1p),-241.93260114416637,487.86520228833274,496.15357355658404,1.0136361433412842e-06,0,current,0.6309696600908369,0.40666323795304854,,,,
szn,D,A,249,Normal,-272.22672730636543,548.4534546127309,555.4883604056603,0.00016942877817357284,0,current,0.7920883534136547,0.7220517232088398,,,,
szn,D,A,249,LogNormal,144.10800628138998,-284.21601256277995,-277.18110676985054,5.061401204904015e-42,1,current,,,-4.0827547271928335,8.0451480323027,,
szn,D,A,249,Gamma,-359.60252672477725,723.2050534495545,730.2399592424839,3.0544835787861294e-08,0,current,,,,,1.2034017483863721,0.6582077470508181
szn,D,A,249,Normal(log1p),-96.64021759508434,197.28043519016867,204.31534098309808,0.0025454532368109706,0,current,0.5164362363403467,0.35671247654536226,,,,
szn,F,PPP,239,Normal,-618.2084825285792,1240.4169650571584,1247.3698921610214,0.07358278632840676,0,current,4.4654393305439335,3.214615764613501,,,,
szn,F,PPP,239,LogNormal,-397.21718411280733,798.4343682256147,805.3872953294776,2.1002593929597853e-43,0,current,,,-1.8327644979065152,7.971100399379622,,
szn,F,PPP,239,Gamma,-1248.6020587659605,2501.204117531921,2508.157044635784,3.369139040107179e-05,0,current,,,,,1.9296131325259325,2.3141630078196767
szn,F,PPP,239,Normal(log1p),-267.5241712244426,539.0483424488853,546.0012695527482,0.0007626488030207428,1,current,1.476543733210788,0.7411216208519142,,,,
szn,D,PPP,70,Normal,-170.09458637693476,344.1891727538695,348.68616323796823,0.44056093540114294,0,current,4.052714285714286,2.748304371492966,,,,
