window,segment,metric,n,fit,loglik,aic,bic,ks_pvalue,chosen,season_label,param_mu,param_sigma,param_log_mu,param_log_sigma,param_k,param_theta
szn,D,G,316,Normal,-36.85242114014592,77.70484228029183,85.21632670746565,7.722364520446145e-15,0,prior,0.203259493670886,0.2719010821711079,,,,
szn,D,G,316,LogNormal,812.121398907369,-1620.242797814738,-1612.731313387564,5.058502232251845e-47,1,prior,,,-6.083258490915353,8.119881258982318,,
szn,D,G,316,Gamma,703.1743944543545,-1402.348788908709,-1394.837304481535,1.010567615353068e-15,0,prior,,,,,0.5588301230337712,0.3637232237976189
szn,D,G,316,Normal(log1p),111.88207997721648,-219.76415995443296,-212.25267552725916,1.2119367870025716e-07,0,prior,0.1680351360137089,0.1698234776245919,,,,
szn,F,G,591,Normal,-509.8972661872716,1023.7945323745432,1032.5581644093554,1.2232655750642758e-06,0,prior,0.7044839255499155,0.5734020208293559,,,,
szn,F,G,591,LogNormal,170.28986817654004,-336.5797363530801,-327.8161043182679,2.7635036592796917e-95,1,prior,,,-3.740015572967229,7.636493370763271,,
szn,F,G,591,Gamma,-1267.224482118196,2538.448964236392,2547.2125962712043,5.780345434803692e-15,0,prior,,,,,1.509467401300404,0.4667102615866472
szn,F,G,591,Normal(log1p),-138.05362624606258,280.1072524921252,288.87088452693735,7.824323086361254e-07,0,prior,0.4851923809871811,0.3056406367154648,,,,
szn,D,A,316,Normal,-212.13794166093237,428.2758833218647,435.7873677490385,0.0045298275434236,0,prior,0.6785443037974684,0.4734940497258451,,,,
szn,D,A,316,LogNormal,-134.67637769781902,273.35275539563804,280.86423982281184,1.054880611434171e-57,0,prior,,,-2.8958686020215065,6.706794637240183,,
szn,D,A,316,Gamma,-901.9368393330992,1807.8736786661984,1815.3851630933725,0.0001183216636137,0,prior,,,,,2.053654433940195,0.3304082189811326
szn,D,A,316,Normal(log1p),-31.402320535664924,66.80464107132985,74.31612549850367,0.0145465069999249,1,prior,0.4817490390979708,0.2672517713247589,,,,
