Player,Team,Position,player_key,status,Elig_Pos,szn_GP,szn_W,szn_GA,szn_GAA,szn_SA,szn_SV,szn_SV%,szn_SHO,szn_TOI,l7_GP,l7_W,l7_GA,l7_GAA,l7_SA,l7_SV,l7_SV%,l7_SHO,l7_TOI
Sergei Bobrovsky,FLA,G,,,,28,17,78,2.84,680,602,0.885,3,27:26:30,2.0,1.0,7.0,3.56,46.0,39.0,0.848,0.0,01:58:03
Jacob Markstrom,NJ,G,,,,20,10,62,3.2,556,494,0.888,0,19:23:43,2.0,1.0,4.0,2.04,60.0,56.0,0.933,0.0,01:57:27
Calvin Pickard,EDM,G,,,,12,4,50,3.73,394,344,0.873,0,13:24:08,2.0,1.0,5.0,2.56,70.0,65.0,0.929,0.0,01:57:05
Scott Wedgewood,COL,G,,,,25,18,52,2.17,632,580,0.918,2,23:58:30,1.0,1.0,3.0,3.0,28.0,25.0,0.893,0.0,01:00:00
Philipp Grubauer,SEA,G,,,,10,7,27,2.32,338,311,0.92,0,11:38:33,2.0,2.0,2.0,1.0,58.0,56.0,0.966,0.0,02:00:00
Frederik Andersen,CAR,G,,,,17,5,58,3.43,435,377,0.867,0,16:55:52,2.0,0.0,9.0,4.58,62.0,53.0,0.855,0.0,01:57:58
Darcy Kuemper,LA,G,,,,25,11,57,2.33,639,582,0.911,2,24:27:32,2.0,1.0,8.0,3.88,51.0,43.0,0.843,0.0,02:03:49
Jordan Binnington,STL,G,,,,23,8,77,3.4,613,536,0.874,1,22:38:46,2.0,1.0,6.0,3.01,68.0,62.0,0.912,1.0,01:59:39
Anton Forsberg,LA,G,,,,14,6,40,2.7,403,363,0.901,1,14:48:51,1.0,0.0,4.0,4.06,25.0,21.0,0.84,0.0,00:59:11
Andrei Vasilevskiy,TB,G,,,,25,16,58,2.36,651,593,0.911,1,24:37:04,2.0,2.0,6.0,2.93,50.0,44.0,0.88,0.0,02:02:47
Anthony Stolarz,TOR,G,,,,13,6,41,3.51,353,312,0.884,0,11:41:13,,,,,,,,,-
Connor Hellebuyck,WPG,G,,,,23,9,59,2.58,619,560,0.905,0,22:50:57,3.0,0.0,8.0,2.77,66.0,58.0,0.879,0.0,02:53:17
Linus Ullmark,OTT,G,,,,28,14,82,2.95,687,605,0.881,1,27:45:51,,,,,,,,,-
Juuse Saros,NSH,G,,,,32,16,91,2.93,876,785,0.896,0,31:01:01,3.0,2.0,9.0,3.04,76.0,67.0,0.882,0.0,02:57:49
Thatcher Demko,VAN,G,,,,18,8,47,2.72,489,442,0.904,1,17:17:01,2.0,0.0,7.0,3.39,59.0,52.0,0.881,0.0,02:03:46
