Player,Team,Position,player_key,szn_GP,szn_W,szn_L,szn_OT,szn_GA,szn_GAA,szn_SA,szn_SV,szn_SV%,szn_SHO,szn_TOI,l7_GP,l7_W,l7_L,l7_OT,l7_GA,l7_GAA,l7_SA,l7_SV,l7_SV%,l7_SHO,l7_TOI,T_szn_GA,T_szn_SV%,T_szn_GAA,T_szn_W,T_szn_SV,T_szn_SHO,T_l7_GA,T_l7_SV%,T_l7_GAA,T_l7_W,T_l7_SV,T_l7_SHO,Goalie_Index_szn,Goalie_Index_l7
Semyon Varlamov,NYI,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Jonathan Quick,NYR,G,,10.0,3.0,6.0,0.0,21.0,2.11,278.0,257.0,0.924,1.0,09:56:42,1.0,0.0,1.0,0.0,5.0,5.07,26.0,21.0,0.808,0.0,00:59:10,72,85,79,22,45,71,49,11,12,11,18,43,62.333333333333336,24.0
James Reimer,TOR,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Jake Allen,NJ,G,,20.0,11.0,8.0,0.0,52.0,2.52,592.0,540.0,0.912,1.0,20:38:42,2.0,1.0,0.0,0.0,6.0,2.92,68.0,62.0,0.912,0.0,02:03:29,35,74,63,73,70,71,37,72,53,62,77,43,64.33333333333333,57.333333333333336
Dustin Tokarski,CAR,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Cam Talbot,DET,G,,19.0,11.0,6.0,0.0,60.0,2.99,535.0,475.0,0.888,0.0,20:02:23,2.0,1.0,0.0,0.0,6.0,2.94,58.0,52.0,0.897,0.0,02:02:32,29,43,44,73,66,21,37,63,52,62,68,43,46.0,54.166666666666664
Sergei Bobrovsky,FLA,G,,28.0,17.0,10.0,0.0,78.0,2.84,680.0,602.0,0.885,3.0,27:26:30,3.0,1.0,2.0,0.0,10.0,3.39,70.0,60.0,0.857,0.0,02:56:53,20,39,50,87,73,97,11,35,40,62,76,43,61.0,44.5
Jacob Markstrom,NJ,G,,19.0,9.0,9.0,0.0,61.0,3.32,525.0,464.0,0.884,0.0,18:23:43,1.0,0.0,1.0,0.0,3.0,3.13,29.0,26.0,0.897,0.0,00:57:27,28,38,32,65,65,21,77,63,47,11,27,43,41.5,44.666666666666664
Jack Campbell,DET,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Calvin Pickard,EDM,G,,11.0,4.0,5.0,0.0,46.0,3.69,366.0,320.0,0.874,0.0,12:26:59,1.0,1.0,0.0,0.0,1.0,1.0,42.0,41.0,0.976,0.0,00:59:56,40,26,22,31,52,21,98,95,97,62,54,43,32.0,74.83333333333333
Scott Wedgewood,COL,G,,24.0,17.0,1.0,0.0,49.0,2.13,604.0,555.0,0.919,2.0,22:58:30,1.0,1.0,0.0,0.0,5.0,4.68,25.0,20.0,0.8,0.0,01:04:10,37,81,79,87,71,91,49,9,16,62,16,43,74.33333333333333,32.5
Philipp Grubauer,SEA,G,,10.0,7.0,3.0,0.0,27.0,2.32,338.0,311.0,0.92,0.0,11:38:33,2.0,2.0,0.0,0.0,2.0,1.0,58.0,56.0,0.966,0.0,02:00:00,63,82,72,54,51,21,90,94,97,88,72,43,57.166666666666664,80.66666666666667
Louis Domingue,NYR,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Petr Mrazek,ANA,G,,7.0,3.0,4.0,0.0,30.0,3.78,223.0,193.0,0.865,0.0,07:55:53,0.0,0.0,1.0,0.0,1.0,2.51,4.0,3.0,0.75,0.0,00:23:56,58,17,20,22,35,21,98,2,65,11,1,43,28.833333333333332,36.666666666666664
