Player,Team,team_name,Elig_Pos,status,szn_GP,szn_GA,szn_SV%,szn_GAA,szn_SV,l7_GP,l7_GA,l7_SV%,l7_GAA,l7_SV,T_szn_GA,T_szn_SV%,T_szn_GAA,T_szn_SV,T_l7_GA,T_l7_SV%,T_l7_GAA,T_l7_SV,Goalie_Index_szn,Goalie_Index_l7
Jonathan Quick,NYR,,,,10,21,0.924,2.11,257,2.0,6.0,0.895,3.04,51.0,67,82,79,48,75,59,49,30,69.0,53.25
Jacob Markstrom,N.J,robert's Fabulous Team,G,,20,61,0.884,3.32,463,3.0,6.0,0.931,2.05,81.0,26,39,34,69,75,85,83,58,42.0,75.25
Jake Allen,N.J,,,,21,52,0.912,2.52,539,4.0,9.0,0.93,2.21,120.0,31,71,64,74,48,85,78,80,60.0,72.75
Darcy Kuemper,L.A,Bar Down Beauties,None,,24,53,0.913,2.27,558,1.0,4.0,0.826,4.02,19.0,31,72,73,75,91,10,21,2,62.75,31.0
Cam Talbot,DET,,,,21,60,0.887,2.99,473,3.0,8.0,0.912,2.57,83.0,26,43,45,70,57,73,66,60,46.0,64.0
Sergei Bobrovsky,FLA,Trocheck Backcheck Paycheque,G,,28,78,0.885,2.84,602,5.0,15.0,0.873,3.02,103.0,18,40,51,77,16,40,50,72,46.5,44.5
Calvin Pickard,EDM,Dan's Dazzling Team,G,,14,46,0.874,3.69,320,3.0,5.0,0.945,2.12,86.0,36,28,24,56,84,91,81,62,36.0,79.5
Scott Wedgewood,COL,Autodraft Anomalies,None,,24,49,0.919,2.13,553,3.0,7.0,0.911,2.28,72.0,34,78,78,75,66,72,76,51,66.25,66.25
Philipp Grubauer,SEA,,,,13,27,0.92,2.32,310,3.0,3.0,0.97,1.0,96.0,57,79,71,55,96,97,99,68,65.5,90.0
Petr Mrazek,ANA,,,,9,30,0.865,3.78,193,2.0,5.0,0.773,4.31,17.0,53,20,22,38,84,1,16,2,33.25,25.75
Frederik Andersen,CAR,Dan's Dazzling Team,G,,16,54,0.865,3.38,347,2.0,10.0,0.8,5.0,40.0,30,20,32,59,40,3,8,19,35.25,17.5
Anton Forsberg,L.A,Bar Down Beauties,G,,15,40,0.901,2.7,363,5.0,12.0,0.915,2.45,130.0,42,59,57,61,28,75,70,83,54.75,64.0
Jordan Binnington,STL,robert's Fabulous Team,G,,24,77,0.869,3.56,512,3.0,12.0,0.868,3.96,79.0,19,24,27,72,28,36,23,57,35.5,36.0
John Gibson,DET,,,,23,66,0.894,2.97,554,4.0,10.0,0.908,2.52,99.0,23,51,46,75,40,70,68,70,48.75,62.0
Andrei Vasilevskiy,T.B,Autodraft Anomalies,G,,24,55,0.913,2.33,575,5.0,12.0,0.9,2.4,108.0,29,72,71,76,28,64,72,75,62.0,59.75
Matt Murray,SEA,,,,5,8,0.922,2.21,94,,,,,,91,80,76,17,50,50,50,50,66.0,50.0
Joonas Korpisalo,BOS,,,,15,49,0.882,3.6,367,2.0,8.0,0.84,5.75,42.0,34,37,26,61,57,16,4,21,39.5,24.5
Anthony Stolarz,TOR,The Epstein Islanders,G;IR+,IR,13,41,0.884,3.51,312,,,,,,40,39,28,55,50,50,50,50,40.5,50.0
Connor Hellebuyck,WPG,Dan's Dazzling Team,G,,22,55,0.907,2.51,536,6.0,16.0,0.879,2.7,116.0,29,66,64,74,13,45,61,78,58.25,49.25
