Player,Team,team_name,Elig_Pos,szn_GP,szn_GA,szn_SV%,szn_GAA,l7_GP,l7_GA,l7_SV%,l7_GAA,T_szn_GA,T_szn_SV%,T_szn_GAA,T_l7_GA,T_l7_SV%,T_l7_GAA,Goalie_Index_szn,Goalie_Index_l7
Marc-Andre Fleury,MIN,,,26,68,0.898,2.93,3.0,7.0,0.821,5.58,36,59,49,52,5,6,48.0,21.0
Jonathan Quick,NYR,,,24,70,0.893,3.17,2.0,9.0,0.845,4.57,35,54,39,38,13,13,42.66666666666666,21.33333333333333
James Reimer,"ANA, BUF",,,24,69,0.896,3.04,,,,,36,57,44,50,50,50,45.66666666666666,50.0
Semyon Varlamov,NYI,,,10,29,0.889,2.89,,,,,61,50,50,50,50,50,53.66666666666666,50.0
Jacob Markstrom,N.J,robert's Fabulous Team,G,49,121,0.9,2.5,4.0,10.0,0.902,2.56,22,61,67,33,55,52,50.0,46.66666666666666
Jake Allen,N.J,,,31,77,0.906,2.66,3.0,7.0,0.86,3.26,33,66,60,52,21,33,53.0,35.333333333333336
Dustin Tokarski,CAR,,,6,13,0.902,2.18,,,,,80,63,80,50,50,50,74.33333333333333,50.0
Darcy Kuemper,L.A,Bar Down Beauties,G;IR;IR+,50,100,0.921,2.02,5.0,7.0,0.943,1.47,26,79,86,52,84,85,63.66666666666666,73.66666666666667
Cam Talbot,DET,,,47,129,0.9,2.93,5.0,15.0,0.885,3.02,20,61,49,15,40,39,43.333333333333336,31.33333333333333
Sergei Bobrovsky,FLA,Trocheck Backcheck Paycheque,G,54,130,0.906,2.44,4.0,9.0,0.897,2.26,20,66,70,38,50,62,52.0,50.0
Calvin Pickard,EDM,Dan's Dazzling Team,G,36,85,0.9,2.71,4.0,12.0,0.895,3.03,30,61,58,24,49,39,49.66666666666666,37.333333333333336
Scott Wedgewood,"COL, NSH",Autodraft Anomalies,G,24,53,0.908,2.32,,,,,43,68,75,50,50,50,62.0,50.0
Philipp Grubauer,SEA,,,26,85,0.875,3.49,1.0,3.0,0.87,2.78,30,37,28,87,28,46,31.666666666666668,53.66666666666666
Louis Domingue,NYR,,,1,2,0.926,2.0,,,,,97,82,86,50,50,50,88.33333333333333,50.0
Petr Mrazek,"CHI, DET",,,38,116,0.891,3.35,,,,,23,52,32,50,50,50,35.666666666666664,50.0
Frederik Andersen,CAR,Dan's Dazzling Team,G,22,55,0.899,2.5,4.0,20.0,0.813,4.91,42,60,67,7,4,10,56.333333333333336,7.0
Anton Forsberg,OTT,,,30,76,0.901,2.72,4.0,12.0,0.902,2.97,33,62,58,24,55,41,51.0,40.0
Jordan Binnington,STL,robert's Fabulous Team,G,56,145,0.9,2.69,5.0,13.0,0.895,2.56,18,61,59,20,49,52,46.0,40.333333333333336
John Gibson,ANA,,,29,72,0.911,2.77,,,,,34,71,56,50,50,50,53.66666666666666,50.0
Andrei Vasilevskiy,T.B,Autodraft Anomalies,G,63,136,0.921,2.18,4.0,10.0,0.917,2.44,19,79,80,33,67,56,59.333333333333336,52.0
Matt Murray,TOR,,,2,7,0.879,3.54,,,,,89,40,26,50,50,50,51.66666666666666,50.0
Joonas Korpisalo,BOS,,,27,74,0.893,2.9,2.0,6.0,0.9,3.06,34,54,50,60,53,38,46.0,50.333333333333336
Anthony Stolarz,TOR,The Epstein Islanders,G;IR;IR+,34,71,0.926,2.14,4.0,3.0,0.971,0.74,35,82,82,87,94,97,66.33333333333333,92.66666666666669
