Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Brent Burns,COL,,,22,0:20:01,0.27,1.23,5.99,0.54,4.36,1.63,0.0,7.0,0:18:43,0.46,1.37,4.58,0.0,4.12,0.0,0.0,,,,,,,D,68,82,50,89,50,7,55,56,79,82,50,68,50,4,52,14,67.8,39.333333333333336,59.25999999999999,65.8,23.33333333333333,53.06
Corey Perry,L.A,,,17,0:14:07,1.75,1.5,8.74,1.25,1.25,3.25,0.75,7.0,0:13:10,0.0,1.3,6.51,1.3,1.3,3.91,0.0,17.0,0:03:23,5.19,7.0,0:03:52,4.43,F,94,78,70,82,23,13,26,79,16,71,69,61,14,19,39,84,69.4,39.333333333333336,60.38,46.2,47.333333333333336,46.540000000000006
Alex Ovechkin,WSH,robert's Fabulous Team,LW;RW,23,0:17:51,1.46,1.61,7.89,5.84,0.73,0.58,0.15,7.0,0:17:36,2.92,1.46,8.28,5.36,1.46,0.97,0.0,23.0,0:04:25,2.36,7.0,0:03:17,5.21,F,89,81,33,75,15,62,10,24,98,76,74,77,14,62,44,45,58.6,32.0,50.62,67.8,50.333333333333336,62.56
Evgeni Malkin,PIT,Jagrbombs,C;LW,21,0:17:41,0.97,2.91,8.4,1.29,0.65,2.26,12.44,7.0,0:17:59,1.43,0.95,7.62,0.48,0.48,0.95,12.86,21.0,0:02:55,9.78,7.0,0:02:58,5.78,F,71,97,92,80,80,13,8,65,85,58,77,72,80,8,13,45,84.0,28.666666666666668,67.39999999999999,74.4,22.0,58.68
Sidney Crosby,PIT,Dan's Dazzling Team,C,21,0:19:09,1.94,1.49,6.86,2.54,1.64,3.58,33.85,7.0,0:19:14,1.78,0.89,7.57,1.34,1.78,0.89,35.63,21.0,0:02:47,8.17,7.0,0:02:59,8.61,F,96,78,87,64,94,29,39,82,91,56,86,71,94,19,53,43,83.8,50.0,73.66,79.6,38.333333333333336,67.22
Anze Kopitar,L.A,Jagrbombs,C,19,0:18:35,0.68,1.36,4.92,2.04,3.23,0.68,31.58,7.0,0:18:22,0.93,0.93,5.13,0.47,3.27,0.0,29.86,19.0,0:03:53,4.86,7.0,0:03:45,2.28,F,53,74,67,35,93,23,80,27,70,57,49,45,92,8,82,17,64.4,43.333333333333336,58.08,62.6,35.666666666666664,54.52
Kris Letang,PIT,,,21,0:21:41,0.13,0.92,4.21,3.29,3.82,1.05,0.0,7.0,0:21:52,0.0,0.78,5.49,2.74,3.13,0.78,0.0,21.0,0:01:04,10.58,,,,D,42,68,93,66,50,59,42,39,26,60,50,79,50,55,32,40,63.8,46.66666666666666,58.66,53.0,42.333333333333336,49.8
Ryan Reaves,S.J,,,19,0:07:32,0.84,0.0,5.02,28.88,1.67,7.95,0.0,7.0,0:08:49,0.0,0.0,3.89,27.22,1.94,6.81,0.0,,,,,,,F,64,5,50,37,12,98,40,97,16,11,50,28,14,98,57,94,33.6,78.33333333333333,47.02,23.8,83.0,41.56
Brad Marchand,FLA,Bar Down Beauties,LW;RW,21,0:18:11,2.04,1.89,9.43,2.36,1.26,2.83,0.16,7.0,0:18:05,1.42,2.84,7.58,0.0,2.37,0.0,0.47,21.0,0:03:41,6.18,7.0,0:03:25,10.02,F,97,88,77,86,15,27,26,74,85,95,89,71,21,3,67,17,72.6,42.333333333333336,63.52,72.2,29.0,59.24
Nick Foligno,CHI,,,15,0:13:57,0.0,1.72,4.59,11.75,3.15,4.59,24.36,3.0,0:13:24,0.0,2.98,5.97,13.42,2.98,0.0,26.84,15.0,0:01:19,3.01,,,,F,7,84,44,30,90,87,78,88,16,96,50,56,91,90,78,17,51.0,84.33333333333333,60.99999999999999,61.8,61.66666666666666,61.76
