Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Ryan Suter,STL,,,82,0:19:28,0.08,0.49,2.33,1.5,4.1,0.9,0.0,7.0,0:16:32,0.52,0.0,2.59,2.59,7.77,1.04,0.0,,,,,,,D,30,38,50,19,48,19,47,34,86,13,50,35,47,48,89,53,37.0,33.333333333333336,35.9,46.2,63.333333333333336,51.34
Brent Burns,CAR,,,82,0:20:57,0.21,0.8,6.08,0.38,3.42,0.98,0.0,7.0,0:16:24,0.0,1.57,2.61,0.0,2.09,1.04,0.0,82.0,0:01:41,1.3,,,,D,55,65,6,87,48,3,31,37,28,88,50,36,47,3,21,53,52.2,23.666666666666668,43.64,49.8,25.666666666666668,42.56
Corey Perry,EDM,,,81,0:11:56,1.18,0.68,6.21,2.23,1.61,3.79,1.05,7.0,0:14:37,1.76,1.17,7.62,3.52,1.76,11.14,1.17,81.0,0:01:18,4.53,7.0,0:02:51,3.0,F,83,40,60,56,28,22,34,87,86,63,51,65,32,48,51,99,53.4,47.66666666666666,51.67999999999999,59.4,66.0,61.38
Alex Ovechkin,WSH,robert's Fabulous Team,LW;RW,65,0:17:43,2.29,1.51,12.34,5.73,0.68,0.73,0.0,6.0,0:17:14,2.9,1.16,11.6,4.64,1.16,0.0,0.0,65.0,0:04:09,4.89,6.0,0:03:33,11.24,F,98,83,65,95,13,58,7,28,96,63,86,88,15,58,34,19,70.8,31.0,58.85999999999999,69.6,37.0,59.81999999999999
Evgeni Malkin,PIT,Jagrbombs,C;LW,68,0:17:47,0.79,1.69,6.25,1.59,2.38,2.08,14.39,6.0,0:16:34,0.6,1.81,10.85,1.81,0.6,1.21,22.31,68.0,0:02:29,5.65,,,,F,62,87,74,57,85,14,59,66,46,80,50,86,89,27,18,56,73.0,46.333333333333336,65.0,70.2,33.666666666666664,59.24
Sidney Crosby,PIT,Dan's Dazzling Team,C,80,0:20:22,1.21,2.14,8.36,2.43,1.44,1.14,37.44,7.0,0:20:07,2.56,1.7,9.8,0.85,0.43,0.85,37.06,80.0,0:03:09,6.43,7.0,0:03:25,12.53,F,84,94,81,79,96,24,29,42,95,78,88,81,94,13,13,46,86.8,31.666666666666668,70.25999999999999,87.2,24.0,68.24
Jack Johnson,CBJ,,,41,0:12:52,0.0,0.68,2.61,2.39,3.98,0.23,0.0,1.0,0:13:34,0.0,0.0,0.0,4.42,4.42,0.0,0.0,,,,,,,D,16,55,50,25,48,37,44,11,28,13,50,1,47,71,61,17,38.8,30.666666666666668,36.36,27.8,49.66666666666666,34.36
Anze Kopitar,L.A,Jagrbombs,C,81,0:18:57,0.82,1.8,3.83,1.21,2.62,0.16,34.35,6.0,0:18:56,1.06,1.58,4.75,0.0,1.06,0.0,36.97,81.0,0:02:46,5.87,6.0,0:05:30,3.63,F,64,90,76,20,95,10,66,11,67,75,56,32,94,3,31,19,69.0,29.0,57.0,64.8,17.666666666666668,50.65999999999999
Marc-Edouard Vlasic,S.J,,,27,0:14:37,0.15,0.3,3.04,0.61,6.08,0.3,0.0,7.0,0:12:23,0.0,0.0,6.23,0.0,4.15,1.38,0.0,,,,,,,D,43,21,50,35,48,5,81,13,28,13,50,83,47,3,57,62,39.4,33.0,37.48,44.2,40.66666666666666,43.14
Kris Letang,PIT,Jagrbombs,D,74,0:23:31,0.31,0.72,5.65,4.1,3.41,1.79,0.0,6.0,0:22:30,0.44,0.44,4.89,5.33,1.78,4.44,0.0,74.0,0:01:55,5.05,,,,D,72,59,67,83,48,65,31,62,81,41,50,71,47,79,15,93,65.8,52.66666666666666,61.85999999999999,58.0,62.333333333333336,59.3
Ryan Reaves,TOR,,,35,0:07:48,0.0,0.44,3.08,22.64,1.76,3.96,0.0,,,,,,,,,,,,,,,,F,6,24,50,11,13,97,40,88,50,50,50,50,50,50,50,50,20.8,75.0,37.06,50.0,50.0,50.0
Brad Marchand,"BOS, FLA",Bar Down Beauties,LW;RW,71,0:18:19,1.06,1.29,8.95,3.74,1.57,2.95,0.23,,,,,,,,,,71.0,0:03:10,3.45,,,,F,78,75,41,83,16,39,33,79,50,50,50,50,50,50,50,50,58.6,50.333333333333336,56.12,50.0,50.0,50.0
