Team,Score,MatchUp
CHI,20,Excellent
FLA,81,Difficult
PIT,42,Good
NYR,84,Difficult
COL,94,Difficult
L.A,67,Average
MTL,68,Average
TOR,19,Excellent
BOS,14,Excellent
WSH,75,Difficult
CGY,80,Difficult
EDM,44,Good
VGK,83,Difficult
BUF,36,Good
DET,41,Good
OTT,87,Difficult
T.B,84,Difficult
PHI,72,Difficult
NYI,7,Excellent
N.J,46,Good
CAR,73,Difficult
MIN,33,Good
STL,55,Average
CBJ,33,Good
NSH,57,Average
DAL,73,Difficult
WPG,24,Excellent
UTA,75,Difficult
VAN,10,Excellent
S.J,30,Excellent
ANA,17,Excellent
SEA,74,Difficult
