TM,Week,Games,LiteNite,Opponents,OppOff,OffMatchUp,B2B,Away,GamesRestOfWeek,GamesROS,Key
ANA,1,2,0,"SEA, S.J",4%,"Excellent [4,50]",0,2,0,80,ANA1
ANA,2,3,1,"PIT, CBJ, CHI",45%,"Good [57,58,21]",0,1,0,77,ANA2
ANA,3,3,0,"NSH, BOS, T.B",22%,"Excellent [28,16,50]",0,3,0,74,ANA3
ANA,4,3,2,"FLA, DET, N.J",56%,"Average [63,49,50]",0,1,0,71,ANA4
ANA,5,4,0,"FLA, DAL, VGK, WPG",42%,"Good [63,29,44,32]",2,2,0,67,ANA5
ANA,6,3,0,"CGY, DET, MIN",38%,"Good [40,49,25]",0,3,0,64,ANA6
ANA,7,4,1,"UTA, BOS, OTT, VGK",36%,"Good [52,16,32,44]",2,0,0,60,ANA7
ANA,8,3,1,"VAN, L.A, CHI",26%,"Excellent [32,50,21]",1,1,0,57,ANA8
ANA,9,4,3,"STL, UTA, WSH, CHI",44%,"Good [22,52,81,21]",1,1,1,53,ANA9
ANA,10,3,0,"PIT, NYI, N.J",48%,"Good [57,39,50]",0,3,0,50,ANA10
ANA,11,4,2,"NYR, COL, DAL, COL",59%,"Average [40,83,29,83]",4,2,0,46,ANA11
ANA,12,2,1,"SEA, L.A",4%,"Excellent [4,50]",0,1,0,44,ANA12
ANA,13,3,1,"S.J, T.B, MIN",25%,"Excellent [50,50,25]",0,0,0,41,ANA13
ANA,14,4,1,"WSH, PHI, CBJ, BUF",51%,"Average [81,18,58,46]",2,4,0,37,ANA14
ANA,15,3,1,"DAL, L.A, L.A",29%,"Excellent [29,50,50]",2,1,0,34,ANA15
ANA,16,4,0,"NYR, CGY, SEA, CAR",45%,"Good [40,40,4,96]",1,3,0,30,ANA16
ANA,17,3,2,"EDM, VAN, VGK",36%,"Good [33,32,44]",1,2,0,27,ANA17
ANA,18,4,1,"SEA, EDM, WPG, CAR",41%,"Good [4,33,32,96]",0,0,0,23,ANA18
ANA,19,4,1,"CGY, NYI, MTL, STL",30%,"Excellent [40,39,17,22]",2,0,0,19,ANA19
ANA,20,4,0,"WPG, TOR, OTT, MTL",30%,"Excellent [32,37,32,17]",2,4,0,15,ANA20
ANA,21,3,1,"PHI, UTA, BUF",39%,"Good [18,52,46]",0,1,0,12,ANA21
ANA,22,3,0,"VAN, CAR, EDM",54%,"Average [32,96,33]",0,3,0,9,ANA22
ANA,23,4,3,"TOR, S.J, STL, CAR",52%,"Average [37,50,22,96]",2,1,0,5,ANA23
ANA,24,5,0,"NSH, S.J, VAN, MIN, NSH",28%,"Excellent [28,50,32,25,28]",0,2,0,0,ANA24
BOS,1,3,1,"WSH, CHI, BUF",49%,"Good [81,21,46]",2,1,0,79,BOS1
BOS,2,4,1,"T.B, VGK, CGY, UTA",45%,"Good [50,44,40,52]",2,3,0,75,BOS2
BOS,3,3,0,"FLA, ANA, CGY",55%,"Average [63,61,40]",0,0,0,72,BOS3
BOS,4,4,1,"OTT, NYI, BUF, CBJ",44%,"Good [32,39,46,58]",2,1,0,68,BOS4
BOS,5,3,0,"NYI, OTT, TOR",36%,"Good [39,32,37]",0,2,0,65,BOS5
BOS,6,3,0,"TOR, OTT, MTL",29%,"Excellent [37,32,17]",0,2,0,62,BOS6
BOS,7,4,2,"CBJ, ANA, L.A, S.J",60%,"Average [58,61,50,50]",0,3,0,58,BOS7
BOS,8,3,0,"NYI, NYR, DET",43%,"Good [39,40,49]",2,1,0,55,BOS8
BOS,9,3,0,"DET, STL, N.J",36%,"Good [49,22,50]",0,1,1,52,BOS9
BOS,10,3,0,"STL, WPG, MIN",26%,"Excellent [22,32,25]",0,3,0,49,BOS10
BOS,11,4,0,"UTA, EDM, VAN, OTT",37%,"Good [52,33,32,32]",2,0,0,45,BOS11
BOS,12,2,0,"MTL, BUF",32%,"Good [17,46]",0,1,0,43,BOS12
BOS,13,3,0,"CAR, EDM, VAN",54%,"Average [96,33,32]",0,3,0,40,BOS13
BOS,14,4,1,"SEA, CAR, NYR, PIT",49%,"Good [4,96,40,57]",2,1,0,36,BOS14
BOS,15,3,0,"DET, SEA, CHI",25%,"Excellent [49,4,21]",0,1,0,33,BOS15
BOS,16,3,0,"DAL, VGK, MTL",30%,"Excellent [29,44,17]",0,1,0,30,BOS16
BOS,17,4,2,"NYR, NSH, PHI, T.B",29%,"Excellent [40,28,18,50]",2,2,0,26,BOS17
BOS,18,3,0,"FLA, COL, PHI",55%,"Average [63,83,18]",0,2,0,23,BOS18
BOS,19,4,0,"PIT, NSH, WSH, PIT",56%,"Average [57,28,81,57]",2,2,0,19,BOS19
BOS,20,3,0,"L.A, S.J, WSH",81%,"Difficult [50,50,81]",0,1,0,16,BOS20
BOS,21,4,1,"N.J, MTL, WPG, DET",33%,"Good [50,17,32,49]",2,3,0,12,BOS21
BOS,22,4,1,"TOR, BUF, MIN, COL",48%,"Good [37,46,25,83]",4,2,0,8,BOS22
BOS,23,4,0,"DAL, FLA, T.B, PHI",37%,"Good [29,63,50,18]",2,3,0,4,BOS23
BOS,24,4,0,"CBJ, T.B, COL, N.J",70%,"Average [58,50,83,50]",2,2,0,0,BOS24
BUF,1,2,0,"NYR, BOS",28%,"Excellent [40,16]",0,1,0,80,BUF1
BUF,2,3,1,"CGY, OTT, FLA",45%,"Good [40,32,63]",0,0,0,77,BUF2
BUF,3,4,3,"MTL, DET, TOR, TOR",35%,"Good [17,49,37,37]",2,2,0,73,BUF3
BUF,4,3,0,"COL, BOS, WSH",60%,"Average [83,16,81]",0,1,0,70,BUF4
BUF,5,3,0,"UTA, STL, CBJ",44%,"Good [52,22,58]",0,1,0,67,BUF5
BUF,6,3,1,"UTA, CGY, DET",47%,"Good [52,40,49]",2,3,0,64,BUF6
BUF,7,4,2,"EDM, CAR, CHI, CBJ",52%,"Average [33,96,21,58]",0,0,0,60,BUF7
BUF,8,3,0,"PIT, N.J, MIN",41%,"Good [57,50,25]",2,2,0,57,BUF8
BUF,9,3,3,"WPG, PHI, WPG",27%,"Excellent [32,18,32]",0,2,0,54,BUF9
BUF,10,4,1,"CAR, EDM, VAN, SEA",41%,"Good [96,33,32,4]",2,4,0,50,BUF10
BUF,11,3,0,"PHI, NYI, N.J",28%,"Excellent [18,39,50]",2,1,0,47,BUF11
BUF,12,2,0,"OTT, BOS",24%,"Excellent [32,16]",0,1,0,45,BUF12
BUF,13,3,0,"STL, DAL, COL",45%,"Good [22,29,83]",0,3,0,42,BUF13
BUF,14,3,0,"VAN, NYR, ANA",44%,"Good [32,40,61]",0,1,0,39,BUF14
BUF,15,4,1,"FLA, PHI, MTL, MIN",31%,"Good [63,18,17,25]",2,0,0,35,BUF15
BUF,16,4,0,"CBJ, NSH, MTL, NYI",36%,"Good [58,28,17,39]",2,4,0,31,BUF16
BUF,17,3,0,"TOR, L.A, MTL",27%,"Excellent [37,50,17]",0,1,0,28,BUF17
BUF,18,6,1,"FLA, T.B, PIT, N.J, FLA, T.B",61%,"Average [63,50,57,50,63,50]",4,5,0,22,BUF18
BUF,19,4,0,"VGK, PIT, NSH, T.B",43%,"Good [44,57,28,50]",2,1,0,18,BUF19
BUF,20,3,0,"S.J, WSH, TOR",59%,"Average [50,81,37]",0,0,0,15,BUF20
BUF,21,4,0,"VGK, S.J, L.A, ANA",52%,"Average [44,50,50,61]",2,4,0,11,BUF21
BUF,22,3,2,"BOS, DET, SEA",23%,"Excellent [16,49,4]",2,0,0,8,BUF22
BUF,23,3,0,"NYI, OTT, WSH",51%,"Average [39,32,81]",0,2,0,5,BUF23
BUF,24,5,2,"T.B, NYR, COL, CHI, DAL",43%,"Good [50,40,83,21,29]",2,2,0,0,BUF24
CAR,1,3,1,"EDM, VAN, STL",29%,"Excellent [33,32,22]",2,2,0,79,CAR1
CAR,2,3,1,"VGK, UTA, VGK",47%,"Good [44,52,44]",2,2,0,76,CAR2
CAR,3,4,3,"WPG, MTL, WPG, NYR",30%,"Excellent [32,17,32,40]",0,1,0,72,CAR3
CAR,4,4,1,"TOR, OTT, NSH, PHI",29%,"Excellent [37,32,28,18]",2,4,0,68,CAR4
CAR,5,3,2,"COL, CHI, MIN",43%,"Good [83,21,25]",0,1,0,65,CAR5
CAR,6,3,0,"STL, S.J, WPG",27%,"Excellent [22,50,32]",0,1,0,62,CAR6
CAR,7,4,1,"CHI, BUF, DAL, VAN",32%,"Good [21,46,29,32]",4,3,0,58,CAR7
CAR,8,3,1,"T.B, FLA, CBJ",60%,"Average [50,63,58]",0,3,0,55,CAR8
CAR,9,3,0,"NSH, MIN, UTA",35%,"Good [28,25,52]",0,1,1,52,CAR9
CAR,10,3,2,"BUF, DET, L.A",48%,"Good [46,49,50]",0,1,0,49,CAR10
CAR,11,3,0,"S.J, SEA, VGK",24%,"Excellent [50,4,44]",0,1,0,46,CAR11
CAR,12,2,0,"EDM, EDM",33%,"Good [33,33]",0,1,0,44,CAR12
CAR,13,3,0,"BOS, PHI, NSH",21%,"Excellent [16,18,28]",0,0,0,41,CAR13
CAR,14,4,2,"SEA, MTL, BOS, PIT",24%,"Excellent [4,17,16,57]",2,3,0,37,CAR14
CAR,15,3,0,"COL, CHI, NYI",48%,"Good [83,21,39]",0,2,0,34,CAR15
CAR,16,4,0,"N.J, PIT, WSH, ANA",66%,"Average [50,57,81,61]",0,0,0,30,CAR16
CAR,17,2,0,"MIN, S.J",25%,"Excellent [25,50]",0,1,0,28,CAR17
CAR,18,5,0,"TOR, EDM, S.J, L.A, ANA",44%,"Good [37,33,50,50,61]",2,3,0,23,CAR18
CAR,19,3,0,"DAL, OTT, CBJ",40%,"Good [29,32,58]",0,0,0,20,CAR19
CAR,20,4,1,"WSH, NYR, N.J, NYI",53%,"Average [81,40,50,39]",2,4,0,16,CAR20
CAR,21,4,2,"DET, STL, FLA, T.B",45%,"Good [49,22,63,50]",0,1,0,12,CAR21
CAR,22,3,0,"L.A, ANA, VAN",46%,"Good [50,61,32]",0,0,0,9,CAR22
CAR,23,3,1,"CGY, VGK, ANA",48%,"Good [40,44,61]",0,3,0,6,CAR23
CAR,24,6,0,"DAL, CGY, SEA, UTA, CGY, L.A",33%,"Good [29,40,4,52,40,50]",2,3,0,0,CAR24
CBJ,1,2,0,"N.J, PHI",18%,"Excellent [50,18]",0,0,0,80,CBJ1
CBJ,2,3,0,"S.J, ANA, L.A",61%,"Average [50,61,50]",0,3,0,77,CBJ2
CBJ,3,3,1,"VGK, CGY, DAL",38%,"Good [44,40,29]",0,3,0,74,CBJ3
CBJ,4,3,0,"VGK, NYI, BOS",33%,"Good [44,39,16]",0,1,0,71,CBJ4
CBJ,5,4,0,"NYR, MIN, BUF, TOR",37%,"Good [40,25,46,37]",2,2,0,67,CBJ5
CBJ,6,3,1,"WSH, VAN, EDM",49%,"Good [81,32,33]",2,0,0,64,CBJ6
CBJ,7,4,2,"BOS, MIN, WPG, BUF",30%,"Excellent [16,25,32,46]",0,4,0,60,CBJ7
CBJ,8,3,1,"NYR, WPG, CAR",56%,"Average [40,32,96]",0,0,0,57,CBJ8
CBJ,9,3,0,"TOR, NSH, S.J",32%,"Good [37,28,50]",2,0,2,54,CBJ9
CBJ,10,4,0,"COL, WSH, PHI, PHI",50%,"Good [83,81,18,18]",2,2,0,50,CBJ10
CBJ,11,3,2,"NSH, FLA, T.B",46%,"Good [28,63,50]",2,3,0,47,CBJ11
CBJ,12,2,0,"FLA, DET",56%,"Average [63,49]",0,0,0,45,CBJ12
CBJ,13,5,2,"NYR, PIT, MTL, CGY, N.J",38%,"Good [40,57,17,40,50]",4,2,0,40,CBJ13
CBJ,14,3,0,"DAL, ANA, SEA",31%,"Good [29,61,4]",0,0,0,37,CBJ14
CBJ,15,4,1,"DET, STL, FLA, N.J",45%,"Good [49,22,63,50]",4,3,0,33,CBJ15
CBJ,16,3,0,"BUF, CHI, OTT",33%,"Good [46,21,32]",0,1,0,30,CBJ16
CBJ,17,3,1,"UTA, WSH, L.A",66%,"Average [52,81,50]",2,1,0,27,CBJ17
CBJ,18,4,0,"OTT, NYR, T.B, DET",40%,"Good [32,40,50,49]",0,1,0,23,CBJ18
CBJ,19,4,1,"SEA, VAN, EDM, CAR",41%,"Good [4,32,33,96]",2,4,0,19,CBJ19
CBJ,20,3,0,"PIT, STL, T.B",40%,"Good [57,22,50]",0,1,0,16,CBJ20
CBJ,21,4,1,"COL, PIT, TOR, PIT",58%,"Average [83,57,37,57]",2,3,0,12,CBJ21
CBJ,22,3,0,"MTL, N.J, MTL",17%,"Excellent [17,50,17]",2,1,0,9,CBJ22
CBJ,23,4,0,"COL, COL, NYI, OTT",59%,"Average [83,83,39,32]",2,2,0,5,CBJ23
