Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Brent Burns,COL,D,13,00:20:33,0.22,1.12,7.41,0.67,3.82,2.7,0.0,7.0,00:20:53,0.41,0.41,6.98,0.82,2.87,2.46,0.0,,,,,,
Corey Perry,L.A,R,7,00:14:24,2.98,1.19,11.31,1.19,1.19,1.19,1.19,7.0,00:14:24,2.98,1.19,11.31,1.19,1.19,1.19,1.19,7.0,00:02:25,3.54,7.0,00:02:25,3.54
Alex Ovechkin,WSH,L,12,00:18:04,0.55,1.38,7.47,6.08,0.0,0.55,0.28,7.0,00:18:46,0.46,0.91,5.94,4.57,0.0,0.0,0.46,12.0,00:05:18,1.88,7.0,00:05:47,2.96
Evgeni Malkin,PIT,C,13,00:17:08,0.81,4.04,7.54,1.88,0.81,3.23,13.46,7.0,00:17:18,0.5,3.96,7.92,1.98,0.99,5.94,16.84,13.0,00:02:45,11.72,7.0,00:02:56,11.64
Sidney Crosby,PIT,C,13,00:18:45,2.21,1.72,6.64,3.2,1.72,5.41,32.47,7.0,00:19:12,2.68,1.34,8.03,3.57,1.78,6.25,34.36,13.0,00:02:32,9.08,7.0,00:02:44,9.39
Anze Kopitar,L.A,C,9,00:19:16,0.0,2.08,4.84,3.46,4.15,0.69,30.8,5.0,00:19:40,0.0,1.22,4.88,1.22,3.66,1.22,24.39,9.0,00:03:44,5.34,5.0,00:04:05,0.0
Kris Letang,PIT,D,13,00:21:22,0.22,1.08,3.67,3.67,4.53,1.3,0.0,7.0,00:21:07,0.41,1.62,4.46,3.65,4.87,0.81,0.0,13.0,00:01:07,12.33,,,
Ryan Reaves,S.J,R,10,00:06:42,1.79,0.0,5.37,33.08,0.89,8.94,0.0,5.0,00:05:40,2.11,0.0,6.34,29.59,2.11,10.57,0.0,,,,,,
Brad Marchand,FLA,L,11,00:18:19,1.79,1.79,10.42,3.57,0.3,3.57,0.0,6.0,00:18:20,1.64,2.18,10.36,4.36,0.55,5.45,0.0,11.0,00:03:39,5.98,6.0,00:03:21,5.97
Nick Foligno,CHI,L,9,00:14:38,0.0,1.82,3.19,11.38,3.19,4.1,21.85,5.0,00:14:57,0.0,1.6,2.41,12.84,1.6,1.6,21.66,9.0,00:01:44,3.83,,,
Jeff Petry,FLA,D,12,00:14:51,0.0,0.67,3.03,2.69,3.7,1.35,0.0,7.0,00:14:17,0.0,0.0,3.6,3.0,2.4,1.2,0.0,12.0,00:01:43,5.8,7.0,00:01:29,0.0
