Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Ryan Suter,STL,D,82,00:19:28,0.08,0.49,2.33,1.5,4.1,0.9,0.0,7.0,00:16:32,0.52,0.0,2.59,2.59,7.77,1.04,0.0,,,,,,
Brent Burns,CAR,D,82,00:20:57,0.21,0.8,6.08,0.38,3.42,0.98,0.0,7.0,00:16:24,0.0,1.57,2.61,0.0,2.09,1.04,0.0,82.0,00:01:41,1.3,,,
Corey Perry,EDM,R,81,00:11:56,1.18,0.68,6.21,2.23,1.61,3.79,1.05,7.0,00:14:37,1.76,1.17,7.62,3.52,1.76,11.14,1.17,81.0,00:01:18,4.53,7.0,00:02:51,3.0
Alex Ovechkin,WSH,L,65,00:17:43,2.29,1.51,12.34,5.73,0.68,0.73,0.0,6.0,00:17:14,2.9,1.16,11.6,4.64,1.16,0.0,0.0,65.0,00:04:09,4.89,6.0,00:03:33,11.24
Evgeni Malkin,PIT,C,68,00:17:47,0.79,1.69,6.25,1.59,2.38,2.08,14.39,6.0,00:16:34,0.6,1.81,10.85,1.81,0.6,1.21,22.31,68.0,00:02:29,5.65,,,
Sidney Crosby,PIT,C,80,00:20:22,1.21,2.14,8.36,2.43,1.44,1.14,37.44,7.0,00:20:07,2.56,1.7,9.8,0.85,0.43,0.85,37.06,80.0,00:03:09,6.43,7.0,00:03:25,12.53
Jack Johnson,CBJ,D,41,00:12:52,0.0,0.68,2.61,2.39,3.98,0.23,0.0,1.0,00:13:34,0.0,0.0,0.0,4.42,4.42,0.0,0.0,,,,,,
Anze Kopitar,L.A,C,81,00:18:57,0.82,1.8,3.83,1.21,2.62,0.16,34.35,6.0,00:18:56,1.06,1.58,4.75,0.0,1.06,0.0,36.97,81.0,00:02:46,5.87,6.0,00:05:30,3.63
Marc-Edouard Vlasic,S.J,D,27,00:14:37,0.15,0.3,3.04,0.61,6.08,0.3,0.0,7.0,00:12:23,0.0,0.0,6.23,0.0,4.15,1.38,0.0,,,,,,
Kris Letang,PIT,D,74,00:23:31,0.31,0.72,5.65,4.1,3.41,1.79,0.0,6.0,00:22:30,0.44,0.44,4.89,5.33,1.78,4.44,0.0,74.0,00:01:55,5.05,,,
Ryan Reaves,TOR,R,35,00:07:48,0.0,0.44,3.08,22.64,1.76,3.96,0.0,,,,,,,,,,,,,,,
Brad Marchand,"BOS, FLA",L,71,00:18:19,1.06,1.29,8.95,3.74,1.57,2.95,0.23,,,,,,,,,,71.0,00:03:10,3.45,,,
Nick Foligno,CHI,L,78,00:15:55,0.72,0.97,4.98,9.61,1.64,2.32,16.47,7.0,00:14:25,1.78,1.19,5.94,9.51,1.78,1.19,19.01,,,,,,
Erik Johnson,"COL, PHI",D,36,00:14:35,0.23,0.34,4.23,6.74,2.97,1.71,0.0,,,,,,,,,,,,,,,
Trevor Lewis,L.A,C,60,00:10:13,0.59,0.59,5.19,9.78,3.42,1.96,9.1,5.0,00:11:03,1.09,1.09,6.51,10.86,4.34,0.0,0.0,,,,,,
Jeff Petry,DET,D,44,00:18:53,0.07,0.51,2.38,3.68,5.56,1.15,0.0,5.0,00:18:14,0.0,1.32,3.29,3.95,5.92,1.32,0.0,,,,,,
Claude Giroux,OTT,R,81,00:18:12,0.61,1.42,5.61,2.6,1.67,0.73,24.41,6.0,00:15:22,0.0,1.95,5.2,2.6,3.25,0.0,20.81,81.0,00:02:24,5.53,6.0,00:02:47,7.16
Jordan Staal,CAR,C,75,00:15:26,0.67,1.19,5.54,7.1,2.23,0.83,37.52,4.0,00:15:33,0.96,1.93,7.72,10.61,0.96,0.0,41.48,,,,,,
Alex Killorn,ANA,L,82,00:17:16,0.8,0.76,5.68,3.26,0.97,1.27,0.34,7.0,00:17:00,0.5,1.51,5.04,3.02,1.51,1.01,0.0,82.0,00:01:59,1.1,7.0,00:01:31,0.0
Jamie Benn,DAL,L,80,00:15:18,0.78,1.62,6.67,5.59,2.21,3.43,14.51,6.0,00:15:52,0.0,2.52,10.08,7.56,0.63,1.26,11.34,80.0,00:02:18,3.26,6.0,00:02:21,8.46
Ian Cole,UTA,D,82,00:20:16,0.04,0.58,2.38,3.82,7.61,2.78,0.0,7.0,00:19:44,0.0,0.43,1.74,3.47,8.68,3.47,0.0,,,,,,
Patrick Maroon,CHI,L,68,00:11:32,0.38,1.07,5.58,7.72,0.69,7.42,2.75,3.0,00:10:51,0.0,1.84,7.37,1.84,0.0,3.68,1.84,,,,,,
James van Riemsdyk,CBJ,L,71,00:12:23,1.09,1.36,5.79,2.11,1.09,1.57,0.41,7.0,00:12:38,1.36,2.71,8.82,1.36,0.0,4.75,0.0,,,,,,
Brendan Smith,DAL,D,32,00:13:12,0.14,0.71,3.83,5.82,3.26,4.68,0.0,3.0,00:16:24,1.22,1.22,4.88,6.1,2.44,2.44,0.0,,,,,,
David Perron,OTT,L,43,00:14:01,0.9,0.7,7.07,7.07,0.9,1.19,0.6,6.0,00:14:50,0.67,0.67,6.74,4.72,0.0,1.35,0.0,43.0,00:02:02,4.1,6.0,00:02:12,0.0
Patrick Kane,DET,R,72,00:17:58,0.97,1.76,8.11,0.88,1.07,0.56,0.23,7.0,00:19:01,0.45,2.25,8.11,1.8,2.25,0.0,0.0,72.0,00:02:59,8.37,7.0,00:02:46,6.19
Robert Bortuzzo,UTA,D,17,00:10:57,0.0,0.64,2.58,6.77,8.38,7.09,0.0,1.0,00:12:01,0.0,0.0,4.99,4.99,0.0,0.0,0.0,,,,,,
Evgenii Dadonov,DAL,R,80,00:13:31,1.11,1.11,6.82,2.44,2.16,0.55,0.0,7.0,00:13:13,2.59,0.0,6.48,1.94,0.65,1.3,0.0,,,,,,
Mikael Backlund,CGY,C,76,00:18:44,0.63,0.72,7.37,1.69,2.15,1.35,29.62,7.0,00:19:06,1.79,1.79,8.08,2.24,3.59,1.79,30.96,76.0,00:01:47,2.65,7.0,00:01:46,0.0
Ryan McDonagh,T.B,D,82,00:20:22,0.14,0.97,2.8,0.83,5.46,0.79,0.0,7.0,00:18:45,0.46,0.46,2.74,0.91,3.2,0.91,0.0,,,,,,
Max Pacioretty,TOR,L,37,00:13:29,0.6,0.96,8.41,12.49,1.68,1.92,0.72,,,,,,,,,,37.0,00:01:07,0.0,,,
Alec Martinez,CHI,D,44,00:18:43,0.36,0.51,2.77,1.75,5.9,0.58,0.0,1.0,00:17:58,0.0,0.0,6.68,3.34,3.34,0.0,0.0,,,,,,
Lars Eller,"PIT, WSH",C,80,00:13:17,0.56,0.68,5.87,3.16,1.97,2.03,22.12,,,,,,,,,,,,,,,
Drew Doughty,L.A,D,30,00:24:08,0.33,1.08,3.81,2.15,3.73,1.66,0.0,3.0,00:21:51,0.0,0.91,5.49,0.91,2.74,0.0,0.0,30.0,00:02:34,4.66,3.0,00:03:56,0.0
Steven Stamkos,NSH,C,82,00:17:59,1.1,1.06,7.07,2.68,1.87,1.95,16.1,7.0,00:18:15,1.88,1.88,7.04,1.41,2.35,2.82,14.08,82.0,00:03:14,4.75,7.0,00:03:08,8.19
Alex Pietrangelo,VGK,D,71,00:22:24,0.15,1.09,4.64,1.55,5.24,0.6,0.0,3.0,00:21:55,0.0,0.91,2.74,0.0,7.3,0.0,0.0,,,,,,
Zach Bogosian,MIN,D,81,00:15:48,0.19,0.56,3.7,3.8,3.75,2.02,0.0,7.0,00:13:34,0.0,0.0,3.79,4.42,1.89,1.26,0.0,,,,,,
Luke Schenn,"NSH, WPG",D,76,00:15:57,0.05,0.3,3.81,14.85,5.15,2.23,0.0,,,,,,,,,,,,,,,
Tyler Myers,VAN,D,71,00:20:47,0.24,0.73,3.54,3.5,5.08,2.6,0.0,,,,,,,,,,,,,,,
Erik Karlsson,PIT,D,82,00:23:14,0.35,1.32,6.01,0.91,2.96,0.63,0.0,7.0,00:22:43,0.38,0.38,4.9,1.13,2.26,0.75,0.0,82.0,00:02:26,4.5,7.0,00:01:28,0.0
