Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Brent Burns,COL,D,19,0 days 00:20:18.526315788,0.16,1.4,6.06,0.62,4.51,1.87,0.0,7.0,0 days 00:20:24.857142858,0.0,1.68,3.78,0.42,5.88,0.0,0.0,,,,,,,D,49,87,50,89,50,8,59,63,28,87,50,59,50,10,78,13,65.0,43.333333333333336,58.5,54.8,33.666666666666664,48.459999999999994
Corey Perry,L.A,R,14,0 days 00:14:41.714285712,2.04,1.46,9.04,1.17,1.17,2.62,0.87,7.0,0 days 00:14:59.285714286,1.14,1.72,6.86,1.14,1.14,4.0,0.57,14.0,0 days 00:03:11.285714286,5.38,7.0,0 days 00:03:57.428571426,6.5,F,96,77,70,83,25,13,24,71,76,83,77,66,23,18,36,85,70.2,36.0,59.94,65.0,46.333333333333336,59.4
Alex Ovechkin,WSH,L,19,0 days 00:17:46.736842104,1.07,1.6,7.82,6.39,0.53,0.36,0.18,7.0,0 days 00:17:15.428571426,1.99,1.99,8.44,6.95,1.49,0.0,0.0,19.0,0 days 00:04:31.157894736,1.4,7.0,0 days 00:03:09.428571426,0.0,F,74,81,19,74,16,66,7,19,93,88,8,77,14,73,46,17,52.8,30.666666666666668,46.16,56.0,45.333333333333336,52.8
Evgeni Malkin,PIT,C,19,0 days 00:17:37.000000002,0.9,3.23,8.6,1.43,0.54,2.51,12.37,7.0,0 days 00:18:30.285714288,0.93,1.85,11.12,0.93,0.0,1.85,11.12,19.0,0 days 00:02:50.526315792,10.0,7.0,0 days 00:02:51.428571426,9.0,F,66,98,90,80,80,16,7,70,68,85,85,89,78,15,4,63,82.8,31.0,67.25999999999999,81.0,27.333333333333332,64.89999999999999
Sidney Crosby,PIT,C,19,0 days 00:19:15.631578948,1.97,1.48,6.89,2.62,1.64,3.93,33.61,7.0,0 days 00:20:05.857142856,1.71,0.85,7.68,1.28,1.71,1.71,35.4,19.0,0 days 00:02:41.894736840,8.19,7.0,0 days 00:02:48.428571426,9.16,F,95,77,85,64,94,31,40,85,89,55,86,72,94,20,53,61,83.0,52.0,73.69999999999999,79.2,44.666666666666664,68.84
Anze Kopitar,L.A,C,16,0 days 00:18:32.875000002,0.61,1.42,4.65,2.22,3.44,0.81,32.15,7.0,0 days 00:17:37.428571428,1.46,0.49,4.38,0.49,2.43,0.97,34.04,16.0,0 days 00:03:48.062500002,5.92,7.0,0 days 00:03:52.285714284,6.64,F,47,75,74,32,93,26,83,33,85,36,78,37,94,9,69,45,64.2,47.333333333333336,59.14,66.0,41.0,58.49999999999999
Kris Letang,PIT,D,19,0 days 00:21:37.789473684,0.15,1.02,4.09,3.5,3.94,1.17,0.0,7.0,0 days 00:22:07.714285716,0.0,0.77,4.26,3.1,3.1,1.55,0.0,,,,,,,D,47,72,50,64,50,61,48,44,28,57,50,67,50,60,37,59,56.6,51.0,54.919999999999995,50.4,52.0,50.879999999999995
Ryan Reaves,S.J,R,16,0 days 00:07:20.500000002,1.02,0.0,5.11,27.07,2.04,6.13,0.0,6.0,0 days 00:08:23.666666664,0.0,0.0,4.77,19.06,3.57,2.38,0.0,,,,,,,F,72,6,50,39,13,98,53,94,15,11,50,42,14,95,85,71,36.0,81.66666666666667,49.7,26.4,83.66666666666667,43.58
Brad Marchand,FLA,L,18,0 days 00:18:19.555555554,2.36,1.82,9.46,2.73,0.73,3.27,0.0,7.0,0 days 00:18:19.428571428,3.27,1.87,7.95,1.4,1.4,2.81,0.0,18.0,0 days 00:03:58.000000002,5.88,7.0,0 days 00:04:27.714285714,5.76,F,98,86,74,86,13,33,11,79,99,86,74,74,14,22,44,75,71.4,41.0,62.28,69.4,47.0,62.68
Nick Foligno,CHI,L,15,0 days 00:13:57.333333336,0.0,1.72,4.59,11.75,3.15,4.59,24.36,6.0,0 days 00:12:55.500000,0.0,1.55,6.96,12.38,3.09,5.42,28.63,15.0,0 days 00:01:19.733333334,3.01,,,,F,7,84,44,31,90,87,78,88,15,79,50,67,92,89,79,91,51.2,84.33333333333333,61.13999999999999,60.6,86.33333333333333,68.32
