Player,Prior_Team,Current_Team,Role
Brent Burns,CAR,COL,Skater
Corey Perry,EDM,L.A,Skater
Ryan Reaves,TOR,S.J,Skater
Brad Marchand,"BOS, FLA",FLA,Skater
Jeff Petry,DET,FLA,Skater
James van Riemsdyk,CBJ,DET,Skater
Lars Eller,"PIT, WSH",OTT,Skater
Luke Schenn,"NSH, WPG",WPG,Skater
Travis Hamonic,OTT,DET,Skater
Gustav Nyquist,"MIN, NSH",WPG,Skater
Nick Leddy,STL,S.J,Skater
Chris Kreider,NYR,ANA,Skater
Reilly Smith,"NYR, VGK",VGK,Skater
Dmitry Orlov,CAR,S.J,Skater
Brian Dumoulin,"ANA, N.J",L.A,Skater
Erik Haula,N.J,NSH,Skater
Charlie Coyle,"BOS, COL",CBJ,Skater
Brock Nelson,"COL, NYI",COL,Skater
Nick Bjugstad,UTA,STL,Skater
Cam Fowler,"ANA, STL",STL,Skater
Vladimir Tarasenko,DET,MIN,Skater
Jeff Skinner,EDM,S.J,Skater
Taylor Hall,"CAR, CHI",CAR,Skater
Mikael Granlund,"DAL, S.J",ANA,Skater
John Klingberg,EDM,S.J,Skater
Sean Kuraly,CBJ,BOS,Skater
Mike Reilly,NYI,CAR,Skater
Brandon Saad,"STL, VGK",VGK,Skater
J.T. Miller,"NYR, VAN",NYR,Skater
Joel Armia,MTL,L.A,Skater
Luke Glendening,T.B,N.J,Skater
Yanni Gourde,"SEA, T.B",T.B,Skater
Mathew Dumba,DAL,PIT,Skater
Tanner Pearson,VGK,WPG,Skater
Scott Laughton,"PHI, TOR",TOR,Skater
Mark Jankowski,"CAR, NSH",CAR,Skater
Olli Määttä,"DET, UTA",UTA,Skater
Cody Ceci,"DAL, S.J",L.A,Skater
Jacob Trouba,"ANA, NYR",ANA,Skater
Radek Faksa,STL,DAL,Skater
Matt Grzelcyk,PIT,CHI,Skater
Colton Sissons,NSH,VGK,Skater
Vinnie Hinostroza,"MIN, NSH",MIN,Skater
Connor Brown,EDM,N.J,Skater
Kurtis MacDermid,N.J,OTT,Skater
Nate Schmidt,FLA,UTA,Skater
Connor Clifton,BUF,PIT,Skater
Carson Soucy,"NYR, VAN",NYR,Skater
Miles Wood,COL,CBJ,Skater
Andre Burakovsky,SEA,CHI,Skater
Jonathan Drouin,COL,NYI,Skater
Seth Jones,"CHI, FLA",FLA,Skater
Curtis Lazar,N.J,EDM,Skater
Anthony Mantha,CGY,PIT,Skater
Dakota Mermis,"TOR, UTA",TOR,Skater
Conor Sheary,T.B,NYR,Skater
Nikolaj Ehlers,WPG,CAR,Skater
Kasperi Kapanen,"EDM, STL",EDM,Skater
Marcus Pettersson,"PIT, VAN",VAN,Skater
Christian Dvorak,MTL,PHI,Skater
Jake Walman,"EDM, S.J",EDM,Skater
Viktor Arvidsson,EDM,BOS,Skater
Sam Lafferty,BUF,CHI,Skater
Danton Heinen,"PIT, VAN",PIT,Skater
Michael Bunting,"NSH, PIT",NSH,Skater
Dakota Joshua,VAN,TOR,Skater
Victor Olofsson,VGK,COL,Skater
Andrew Mangiapane,WSH,EDM,Skater
Mikko Rantanen,"CAR, COL, DAL",DAL,Skater
Tommy Novak,"NSH, PIT",PIT,Skater
Brandon Carlo,"BOS, TOR",TOR,Skater
Parker Wotherspoon,BOS,PIT,Skater
Caleb Jones,L.A,PIT,Skater
Noah Juulsen,VAN,PHI,Skater
Jack Roslovic,CAR,EDM,Skater
Nicolas Roy,VGK,TOR,Skater
Anthony Beauvillier,"PIT, WSH",WSH,Skater
Jeremy Lauzon,NSH,VGK,Skater
Mitch Marner,TOR,VGK,Skater
Will Borgen,"NYR, SEA",NYR,Skater
Alexandre Carrier,"MTL, NSH",MTL,Skater
Adam Gaudette,OTT,S.J,Skater
Vladislav Gavrikov,L.A,NYR,Skater
Mason Appleton,WPG,DET,Skater
Mason Marchment,DAL,SEA,Skater
Brandon Tanev,"SEA, WPG",UTA,Skater
Luke Kunin,"CBJ, S.J",FLA,Skater
Ryan Lindgren,"COL, NYR",SEA,Skater
Trent Frederic,"BOS, EDM",EDM,Skater
Tyson Jost,CAR,NSH,Skater
Dante Fabbro,"CBJ, NSH",CBJ,Skater
Taylor Raddysh,WSH,NYR,Skater
