Player,Team,G,A,PPP,SOG,HIT,BLK,PIM,_key_player,_key_team,PG_G,PG_A,PG_PPP,PG_SOG,PG_HIT,PG_BLK,PG_PIM,source
Matthew Tkachuk,FLA,17,34,21,143,70,11,46,matthew tkachuk,FLA,0.2073170731707317,0.4146341463414634,0.25609756097560976,1.7439024390243902,0.8536585365853658,0.13414634146341464,0.5609756097560976,NatePts
Aleksander Barkov,FLA,26,63,32,198,106,64,21,aleksander barkov,FLA,0.3170731707317073,0.7682926829268293,0.3902439024390244,2.4146341463414633,1.2926829268292683,0.7804878048780488,0.25609756097560976,NatePts
Bryan Rust,PIT,34,35,22,224,73,63,21,bryan rust,PIT,0.4146341463414634,0.4268292682926829,0.2682926829268293,2.731707317073171,0.8902439024390244,0.7682926829268293,0.25609756097560976,NatePts
Zach Hyman,EDM,29,28,16,209,62,23,32,zach hyman,EDM,0.35365853658536583,0.34146341463414637,0.1951219512195122,2.548780487804878,0.7560975609756098,0.2804878048780488,0.3902439024390244,NatePts
Jared McCann,SEA,29,36,19,219,47,43,18,jared mccann,SEA,0.35365853658536583,0.43902439024390244,0.23170731707317074,2.6707317073170733,0.573170731707317,0.524390243902439,0.21951219512195122,NatePts
Andrei Svechnikov,CAR,27,32,20,200,173,24,72,andrei svechnikov,CAR,0.32926829268292684,0.3902439024390244,0.24390243902439024,2.4390243902439024,2.1097560975609757,0.2926829268292683,0.8780487804878049,NatePts
Matt Duchene,DAL,28,44,19,179,31,30,19,matt duchene,DAL,0.34146341463414637,0.5365853658536586,0.23170731707317074,2.182926829268293,0.3780487804878049,0.36585365853658536,0.23170731707317074,NatePts
Tyler Toffoli,SJS,34,23,16,256,59,31,15,tyler toffoli,SJS,0.4146341463414634,0.2804878048780488,0.1951219512195122,3.1219512195121952,0.7195121951219512,0.3780487804878049,0.18292682926829268,NatePts
Gabriel Landeskog,COL,28,31,17,208,117,41,54,gabriel landeskog,COL,0.34146341463414637,0.3780487804878049,0.2073170731707317,2.5365853658536586,1.4268292682926829,0.5,0.6585365853658537,NatePts
Mats Zuccarello,MIN,22,42,20,179,38,57,24,mats zuccarello,MIN,0.2682926829268293,0.5121951219512195,0.24390243902439024,2.182926829268293,0.4634146341463415,0.6951219512195121,0.2926829268292683,NatePts
