Player,Team,szn_GP,szn_GA,szn_SV%,szn_GAA,l7_GP,l7_GA,l7_SV%,l7_GAA
Jonathan Quick,NYR,2,4,0.911,2.03,2,4,0.911,2.03
Jacob Markstrom,N.J,3,9,0.845,3.89,3,9,0.845,3.89
Jake Allen,N.J,4,7,0.931,1.91,4,7,0.931,1.91
Darcy Kuemper,L.A,5,13,0.896,2.59,4,9,0.912,2.21
Cam Talbot,DET,5,13,0.89,2.98,4,13,0.886,3.26
Sergei Bobrovsky,FLA,7,18,0.893,2.61,5,15,0.884,3.06
Calvin Pickard,EDM,3,10,0.844,3.37,3,10,0.844,3.37
Scott Wedgewood,COL,8,17,0.91,2.33,7,16,0.902,2.54
Philipp Grubauer,SEA,2,3,0.897,2.12,2,3,0.897,2.12
Petr Mrazek,ANA,2,11,0.828,5.52,2,11,0.828,5.52
Frederik Andersen,CAR,5,14,0.901,2.72,5,14,0.901,2.72
Anton Forsberg,L.A,3,12,0.88,3.89,3,12,0.88,3.89
Jordan Binnington,STL,6,14,0.885,2.75,6,14,0.885,2.75
John Gibson,DET,4,12,0.872,3.31,3,7,0.914,2.33
Andrei Vasilevskiy,T.B,5,17,0.884,3.41,5,17,0.884,3.41
Matt Murray,SEA,1,3,0.909,3.13,1,3,0.909,3.13
Joonas Korpisalo,BOS,4,16,0.845,4.03,3,13,0.835,4.42
Anthony Stolarz,TOR,6,18,0.894,3.01,6,18,0.894,3.01
Connor Hellebuyck,WPG,6,12,0.932,2.01,6,12,0.932,2.01
Linus Ullmark,OTT,7,24,0.867,3.4,6,20,0.871,3.31
Juuse Saros,NSH,7,18,0.911,2.53,6,17,0.896,2.78
Tristan Jarry,PIT,4,10,0.921,2.52,4,10,0.921,2.52
Eric Comrie,WPG,1,2,0.943,2.0,1,2,0.943,2.0
Thatcher Demko,VAN,5,11,0.927,2.24,4,10,0.925,2.55
Alex Nedeljkovic,S.J,4,16,0.874,4.0,4,16,0.874,4.0
Vitek Vanecek,UTA,2,4,0.897,2.01,2,4,0.897,2.01
Jonas Johansson,T.B,2,6,0.906,3.06,2,6,0.906,3.06
Elvis Merzlikins,CBJ,3,8,0.927,2.69,3,8,0.927,2.69
Ilya Sorokin,NYI,5,19,0.874,3.9,5,19,0.874,3.9
Igor Shesterkin,NYR,7,13,0.93,1.86,5,12,0.899,2.4
Dan Vladar,PHI,5,9,0.932,1.81,5,9,0.932,1.81
Sam Montembeault,MTL,5,19,0.842,3.82,4,16,0.832,4.0
Adin Hill,VGK,5,10,0.888,2.73,5,10,0.888,2.73
Karel Vejmelka,UTA,6,15,0.895,2.5,5,13,0.888,2.58
Joey Daccord,SEA,6,15,0.91,2.56,5,14,0.893,2.89
Casey DeSmith,DAL,1,5,0.808,5.15,1,5,0.808,5.15
Charlie Lindgren,WSH,2,4,0.932,2.04,2,4,0.932,2.04
Alex Lyon,BUF,6,15,0.924,2.53,6,15,0.924,2.53
Filip Gustavsson,MIN,6,18,0.902,3.04,5,18,0.885,3.65
David Rittich,NYI,2,4,0.939,2.01,2,4,0.939,2.01
Stuart Skinner,EDM,5,11,0.909,2.17,4,8,0.919,2.0
Jake Oettinger,DAL,6,19,0.894,3.15,6,19,0.894,3.15
Cayden Primeau,TOR,1,4,0.867,4.0,1,4,0.867,4.0
Daniil Tarasov,FLA,2,6,0.887,3.08,2,6,0.887,3.08
Jeremy Swayman,BOS,5,15,0.903,3.02,4,14,0.882,3.53
Logan Thompson,WSH,5,8,0.927,1.6,5,8,0.927,1.6
Lukas Dostal,ANA,5,14,0.904,2.82,5,14,0.904,2.82
Kevin Lankinen,VAN,3,11,0.883,3.6,3,11,0.883,3.6
Joel Hofer,STL,3,12,0.789,6.22,3,12,0.789,6.22
Justus Annunen,NSH,1,5,0.808,5.07,1,5,0.808,5.07
Akira Schmid,VGK,4,9,0.899,2.57,4,9,0.899,2.57
Samuel Ersson,PHI,2,8,0.849,3.88,2,8,0.849,3.88
Spencer Knight,CHI,6,12,0.937,1.97,5,9,0.941,1.76
Trent Miner,COL,1,0,1.0,0.0,1,0,1.0,0.0
Colten Ellis,BUF,1,2,0.935,2.0,1,2,0.935,2.0
Arturs Silovs,PIT,4,9,0.919,2.25,3,9,0.895,3.01
Dustin Wolf,CGY,7,24,0.875,3.61,6,21,0.866,3.77
Nico Daws,N.J,1,1,0.968,1.0,1,1,0.968,1.0
Yaroslav Askarov,S.J,3,17,0.837,5.72,3,17,0.837,5.72
Devin Cooley,CGY,2,3,0.925,2.29,2,3,0.925,2.29
Leevi Meriläinen,OTT,1,7,0.731,7.23,1,7,0.731,7.23
Jakub Dobes,MTL,4,6,0.95,1.47,3,5,0.943,1.63
Jesper Wallstedt,MIN,2,5,0.909,2.35,2,5,0.909,2.35
Arvid Soderblom,CHI,2,7,0.881,3.46,2,7,0.881,3.46
Jet Greaves,CBJ,3,6,0.928,2.04,3,6,0.928,2.04
Brandon Bussi,CAR,2,4,0.911,1.97,2,4,0.911,1.97
