scenario,pos_group,add_player,add_team,add_games,drop_player,drop_team,drop_games,proj_improvement,add_T_szn_G,add_T_l7_G,add_T_szn_A,add_T_l7_A,add_T_szn_PPP,add_T_l7_PPP,add_T_szn_SOG,add_T_l7_SOG,add_T_szn_FOW,add_T_l7_FOW,add_T_szn_HIT,add_T_l7_HIT,add_T_szn_BLK,add_T_l7_BLK,add_T_szn_PIM,add_T_l7_PIM,add_Offensive_Index_szn,add_Banger_Index_szn,add_Composite_Index_szn,add_Offensive_Index_l7,add_Banger_Index_l7,add_Composite_Index_l7,drop_T_szn_G,drop_T_l7_G,drop_T_szn_A,drop_T_l7_A,drop_T_szn_PPP,drop_T_l7_PPP,drop_T_szn_SOG,drop_T_l7_SOG,drop_T_szn_FOW,drop_T_l7_FOW,drop_T_szn_HIT,drop_T_l7_HIT,drop_T_szn_BLK,drop_T_l7_BLK,drop_T_szn_PIM,drop_T_l7_PIM,drop_Offensive_Index_szn,drop_Banger_Index_szn,drop_Composite_Index_szn,drop_Offensive_Index_l7,drop_Banger_Index_l7,drop_Composite_Index_l7
this_week,F,Eeli Tolvanen,SEA,3,Dylan Guenther,UTA,2,115.22,48.0,90.0,83.0,92.0,81.0,82.0,45.0,79.0,13.0,14.0,81.0,82.0,78.0,54.0,45.0,70.0,54.0,68.0,58.2,71.4,68.66666666666667,70.58000000000001,85.0,87.0,67.0,11.0,49.0,53.0,94.0,95.0,35.0,48.0,37.0,38.0,20.0,16.0,39.0,17.0,66.0,32.0,55.8,58.8,23.666666666666668,48.26
this_week,F,Jesperi Kotkaniemi,CAR,3,Patrick Kane,DET,2,105.54,58.0,78.0,65.0,69.0,50.0,50.0,60.0,77.0,88.0,91.0,82.0,88.0,90.0,85.0,10.0,17.0,64.2,60.66666666666666,63.14,73.0,63.333333333333336,70.1,69.0,51.0,88.0,84.0,83.0,78.0,90.0,95.0,13.0,14.0,14.0,19.0,4.0,4.0,28.0,50.0,68.6,15.333333333333334,52.62,64.4,24.33333333333333,52.38
this_week,F,Nick Foligno,CHI,3,Timo Meier,N.J,2,97.6,7.0,15.0,84.0,79.0,44.0,50.0,31.0,67.0,90.0,92.0,87.0,89.0,78.0,79.0,88.0,91.0,51.2,84.33333333333333,61.13999999999999,60.6,86.33333333333333,68.32,64.0,66.0,80.0,73.0,80.0,51.0,90.0,95.0,39.0,27.0,59.0,53.0,37.0,4.0,56.0,43.0,70.6,50.66666666666666,64.61999999999999,62.4,33.333333333333336,53.68
this_week,D,Charles Alexis Legault,CAR,3,Thomas Harley,DAL,2,141.32,96.0,99.0,43.0,94.0,50.0,50.0,85.0,72.0,50.0,50.0,78.0,89.0,37.0,64.0,96.0,98.0,64.8,70.33333333333333,66.46,73.0,83.66666666666667,76.19999999999999,47.0,28.0,84.0,44.0,77.0,50.0,41.0,39.0,50.0,50.0,21.0,34.0,82.0,59.0,43.0,48.0,59.8,48.66666666666666,56.46,42.2,47.0,43.64
this_week,D,Ian Moore,ANA,3,Brandon Montour,SEA,3,88.74,79.0,91.0,26.0,48.0,50.0,50.0,64.0,67.0,50.0,50.0,36.0,59.0,91.0,98.0,90.0,92.0,53.8,72.33333333333333,59.36,61.2,83.0,67.74,95.0,28.0,75.0,36.0,62.0,7.0,92.0,73.0,50.0,50.0,48.0,33.0,56.0,38.0,46.0,39.0,74.8,50.0,67.35999999999999,38.8,36.66666666666666,38.16
this_week,D,Rasmus Sandin,WSH,3,Jake McCabe,TOR,2,69.26,90.0,98.0,66.0,64.0,2.0,50.0,44.0,71.0,50.0,50.0,82.0,72.0,63.0,69.0,19.0,43.0,50.4,54.66666666666666,51.67999999999999,66.6,61.333333333333336,65.01999999999998,88.0,77.0,70.0,73.0,50.0,50.0,21.0,30.0,50.0,50.0,63.0,64.0,87.0,85.0,77.0,88.0,55.8,75.66666666666667,61.75999999999999,56.0,79.0,62.89999999999999
next_week,F,Scott Sabourin,T.B,4,Jaden Schwartz,SEA,2,184.32,95.0,92.0,88.0,87.0,50.0,50.0,87.0,84.0,13.0,14.0,86.0,88.0,50.0,58.0,99.0,99.0,66.6,78.33333333333333,70.11999999999999,65.4,81.66666666666667,70.28,82.0,85.0,70.0,36.0,54.0,8.0,66.0,77.0,34.0,39.0,49.0,36.0,77.0,59.0,50.0,46.0,61.2,58.66666666666666,60.44,49.0,47.0,48.4
next_week,F,Dalibor Dvorsky,STL,4,Mats Zuccarello,MIN,3,132.56,84.0,82.0,6.0,11.0,89.0,84.0,55.0,64.0,87.0,86.0,72.0,80.0,77.0,88.0,35.0,53.0,64.2,61.333333333333336,63.34,65.4,73.66666666666667,67.88,7.0,15.0,95.0,94.0,65.0,68.0,39.0,47.0,37.0,39.0,14.0,20.0,49.0,58.0,10.0,17.0,48.6,24.33333333333333,41.31999999999999,52.6,31.666666666666668,46.32
next_week,F,Lawson Crouse,UTA,4,Dylan Guenther,UTA,4,70.08,61.0,76.0,48.0,83.0,50.0,50.0,68.0,47.0,36.0,51.0,84.0,83.0,69.0,76.0,44.0,69.0,52.6,65.66666666666667,56.52,61.4,76.0,65.78,85.0,87.0,67.0,11.0,49.0,53.0,94.0,95.0,35.0,48.0,37.0,38.0,20.0,16.0,39.0,17.0,66.0,32.0,55.8,58.8,23.666666666666668,48.26
next_week,D,Darren Raddysh,T.B,4,Brandon Montour,SEA,2,190.64,95.0,88.0,86.0,85.0,51.0,66.0,92.0,87.0,50.0,50.0,45.0,44.0,9.0,10.0,75.0,87.0,74.8,43.0,65.25999999999999,75.2,47.0,66.74,95.0,28.0,75.0,36.0,62.0,7.0,92.0,73.0,50.0,50.0,48.0,33.0,56.0,38.0,46.0,39.0,74.8,50.0,67.35999999999999,38.8,36.66666666666666,38.16
