id,cname,display_name,team,position,source
1,aj greer,A.J. Greer,FLA,L,NST
2,aaron ekblad,Aaron Ekblad,FLA,D,NST
3,aatu raty,Aatu Raty,VAN,C,NST
4,adam boqvist,Adam Boqvist,NYI,D,NST
5,adam edstrom,Adam Edstrom,NYR,C,NST
6,adam erne,Adam Erne,DAL,L,NST
7,adam fantilli,Adam Fantilli,CBJ,C,NST
8,adam fox,Adam Fox,NYR,D,NST
9,adam gaudette,Adam Gaudette,S.J,R,NST
10,adam ginning,Adam Ginning,PHI,D,NST
11,adam henrique,Adam Henrique,EDM,C,NST
12,adam klapka,Adam Klapka,CGY,R,NST
13,adam larsson,Adam Larsson,SEA,D,NST
14,adam pelech,Adam Pelech,NYI,D,NST
15,adam wilsby,Adam Wilsby,NSH,D,NST
16,adin hill,Adin Hill,VGK,G,NST
17,adrian kempe,Adrian Kempe,L.A,R,NST
18,akira schmid,Akira Schmid,VGK,G,NST
19,albert johansson,Albert Johansson,DET,D,NST
20,alec regula,Alec Regula,EDM,D,NST
21,alexander debrincat,Alex DeBrincat,DET,R,NST
22,alexander iafallo,Alex Iafallo,WPG,L,NST
23,alexander killorn,Alex Killorn,ANA,L,NST
24,alexander laferriere,Alex Laferriere,L.A,R,NST
25,alexander lyon,Alex Lyon,BUF,G,NST
26,alexander nedeljkovic,Alex Nedeljkovic,S.J,G,NST
27,alexander newhook,Alex Newhook,MTL,C,NST
28,alexander ovechkin,Alex Ovechkin,WSH,L,NST
29,alexander petrovic,Alex Petrovic,DAL,D,NST
30,alexander tuch,Alex Tuch,BUF,R,NST
31,alexander turcotte,Alex Turcotte,L.A,C,NST
32,alexander vlasic,Alex Vlasic,CHI,D,NST
33,alexander holtz,Alexander Holtz,VGK,R,NST
34,alexander nikishin,Alexander Nikishin,CAR,D,NST
35,alexander romanov,Alexander Romanov,NYI,D,NST
36,alexander wennberg,Alexander Wennberg,S.J,C,NST
37,alexandre carrier,Alexandre Carrier,MTL,D,NST
38,alexandre texier,Alexandre Texier,STL,L,NST
39,alexey toropchenko,Alexey Toropchenko,STL,R,NST
40,alexis lafreniere,Alexis Lafrenière,NYR,L,NST
